Packet Number,Time,Battery Voltage,Altitude,Temperature,Humidity,Lux,State,alt_th
371,3738,3.484063,65505,19,43,817,3,234
372,3739,3.409315,65505,19,43,837,3,234
373,3740,3.454994,65504,19,43,845,3,234
374,3741,3.521437,65504,19,43,835,3,234
375,3743,3.496521,65505,19,43,838,3,234
376,3744,3.529742,65505,19,43,842,3,234
377,3745,3.488215,65505,19,43,846,3,234
378,3746,3.533895,65504,19,43,833,3,234
379,3747,3.484063,65504,19,43,846,3,234
380,3748,3.467452,65504,19,43,837,3,234
381,3749,3.484063,65504,19,43,846,3,234
382,3750,3.479910,65504,19,42,839,3,234
383,3752,3.484063,65503,19,42,831,3,234
384,3753,3.517284,65504,19,42,837,3,234
385,3754,3.488215,65504,19,42,834,3,234
386,3755,3.471605,65505,19,42,837,3,234
387,3756,3.529742,65505,19,42,845,3,234
388,3757,3.417621,65505,19,42,836,3,234
389,3758,3.479910,65504,19,42,842,3,234
390,3761,3.450842,65504,19,42,834,3,234
391,3762,3.479910,65504,19,42,845,3,234
392,3763,3.529742,65503,19,42,817,3,234
393,3764,3.454994,65504,19,42,815,3,234
394,3765,3.525589,65504,19,42,837,3,234
395,3766,3.508979,65504,19,42,827,3,234
396,3768,3.525589,65504,19,42,844,3,234
397,3769,3.492368,65505,19,42,835,3,234
398,3770,3.504826,65504,19,42,834,3,234
399,3771,3.492368,65505,19,42,833,3,234
400,3772,3.425926,65504,19,42,837,3,234
401,3773,3.484063,65504,19,42,818,3,234
402,3774,3.442536,65504,19,42,832,3,234
403,3775,3.421773,65504,19,42,833,3,234
404,3777,3.513131,65505,19,42,832,3,234
405,3778,3.401010,65504,19,42,815,3,234
406,3779,3.504826,65504,19,42,844,3,234
407,3780,3.471605,65503,19,42,836,3,234
408,3781,3.475758,65504,19,42,820,3,234
409,3782,3.401010,65504,19,42,815,3,234
410,3784,3.484063,65504,19,42,832,3,234
411,3785,3.417621,65504,19,42,832,3,234
412,3786,3.529742,65504,19,42,813,3,234
413,3787,3.496521,65504,19,42,842,3,234
414,3788,3.471605,65503,19,42,827,3,234
415,3789,3.475758,65504,19,42,845,3,234
416,3790,3.484063,65504,19,42,832,3,234
417,3791,3.475758,65504,19,42,818,3,234
418,3793,3.467452,65504,19,42,833,3,234
419,3794,3.413468,65504,19,42,844,3,234
420,3795,3.425926,65504,19,42,842,3,234
421,3796,3.504826,65503,19,42,834,3,234
422,3797,3.488215,65504,19,42,833,3,234
423,3798,3.442536,65503,19,42,820,3,234
424,3799,3.471605,65504,19,42,815,3,234
425,3800,3.484063,65504,19,42,831,3,234
426,3802,3.479910,65504,19,42,833,3,234
427,3803,3.484063,65504,19,42,830,3,234
428,3804,3.504826,65504,19,42,831,3,234
429,3805,3.463300,65504,19,42,827,3,234
430,3806,3.471605,65504,19,42,843,3,234
431,3807,3.459147,65504,19,42,823,3,234
432,3809,3.496521,65504,19,42,829,3,234
433,3810,3.409315,65504,19,42,843,3,234
434,3811,3.392705,65504,19,42,833,3,234
435,3812,3.479910,65504,19,42,816,3,234
436,3813,3.521437,65505,19,42,831,3,234
437,3814,3.396857,65504,19,42,814,3,234
438,3815,3.484063,65504,19,42,813,3,234
439,3816,3.471605,65504,19,42,812,3,234
440,3818,3.484063,65503,19,42,812,3,234
441,3819,3.467452,65503,19,42,821,3,234
442,3820,3.467452,65504,19,42,834,3,234
443,3821,3.454994,65504,19,42,838,3,234
444,3822,3.392705,65503,19,42,833,3,234
445,3823,3.471605,65503,19,42,830,3,234
446,3824,3.500673,65503,19,42,820,3,234
447,3825,3.467452,65503,19,42,835,3,234
448,3827,3.517284,65503,19,42,819,3,234
449,3828,3.508979,65503,19,42,814,3,234
450,3829,3.517284,65503,19,42,817,3,234
451,3830,3.517284,65504,19,42,833,3,234
452,3831,3.484063,65503,19,42,830,3,234
453,3832,3.479910,65502,19,42,839,3,234
454,3834,3.488215,65504,19,42,834,3,234
455,3835,3.409315,65503,19,42,830,3,234
456,3836,3.463300,65503,19,42,810,3,234
457,3837,3.479910,65503,19,42,810,3,234
458,3838,3.463300,65503,19,42,815,3,234
459,3839,3.471605,65503,19,42,824,3,234
460,3840,3.392705,65503,19,42,837,3,234
461,3841,3.405163,65504,19,42,833,3,234
462,3843,3.467452,65503,19,42,824,3,234
463,3844,3.396857,65503,19,42,836,3,234
464,3845,3.471605,65504,19,42,833,3,234
465,3846,3.454994,65504,19,42,821,3,234
466,3847,3.504826,65504,19,42,811,3,234
467,3848,3.392705,65503,19,42,834,3,234
468,3849,3.384400,65504,19,42,841,3,234
469,3850,3.463300,65504,19,42,833,3,234
470,3852,3.496521,65503,19,42,817,3,234
471,3853,3.467452,65504,19,42,840,3,234
472,3854,3.475758,65503,19,42,817,3,234
473,3855,3.484063,65503,19,42,811,3,234
474,3856,3.446689,65504,19,42,832,3,234
475,3857,3.471605,65504,19,42,838,3,234
476,3859,3.471605,65503,19,42,810,3,234
477,3860,3.471605,65503,19,42,817,3,234
478,3861,3.504826,65503,19,42,838,3,234
479,3862,3.417621,65503,19,42,828,3,234
480,3863,3.438384,65503,19,42,828,3,234
481,3864,3.504826,65503,19,42,811,3,234
482,3865,3.396857,65504,19,42,812,3,234
483,3866,3.488215,65503,19,42,838,3,234
484,3868,3.471605,65503,19,42,812,3,234
485,3869,3.471605,65502,19,42,826,3,234
486,3871,3.471605,65502,19,42,820,3,234
487,3872,3.401010,65503,19,42,839,3,234
488,3873,3.471605,65503,19,42,817,3,234
489,3874,3.454994,65504,19,42,820,3,234
490,3875,3.384400,65503,19,42,827,3,234
491,3877,3.475758,65503,19,42,835,3,234
492,3878,3.471605,65503,19,42,830,3,234
493,3879,3.413468,65503,19,42,830,3,234
494,3880,3.380247,65503,19,42,832,3,234
495,3881,3.450842,65505,19,42,831,3,234
496,3882,3.484063,65504,19,42,829,3,234
497,3884,3.496521,65503,19,42,830,3,234
498,3885,3.454994,65504,19,42,830,3,234
499,3886,3.376094,65504,19,42,828,3,234
500,3887,3.496521,65503,19,42,834,3,234
501,3888,3.459147,65503,19,42,831,3,234
502,3889,3.467452,65503,19,42,825,3,234
503,3890,3.454994,65503,19,42,832,3,234
504,3891,3.438384,65503,19,42,827,3,234
505,3893,3.500673,65502,19,42,825,3,234
506,3894,3.454994,65503,19,42,814,3,234
507,3895,3.438384,65503,19,42,831,3,234
508,3896,3.492368,65504,19,42,826,3,234
509,3897,3.380247,65503,19,42,828,3,234
510,3900,3.442536,65503,19,42,829,3,234
511,3901,3.384400,65504,19,42,830,3,234
512,3902,3.496521,65503,19,42,813,3,234
513,3904,3.446689,65503,19,42,825,3,234
514,3905,3.430079,65504,19,42,829,3,234
515,3906,3.376094,65504,19,42,830,3,234
516,3907,3.367789,65503,19,42,808,3,234
517,3909,3.459147,65503,19,42,809,3,234
518,3910,3.438384,65504,19,43,808,3,234
519,3911,3.409315,65504,19,43,815,3,234
520,3912,3.488215,65504,19,43,803,3,234
521,3913,3.496521,65504,19,43,815,3,234
522,3914,3.413468,65504,19,43,823,3,234
523,3915,3.396857,65504,19,43,828,3,234
524,3916,3.454994,65504,19,43,834,3,234
525,3918,3.467452,65503,19,43,826,3,234
526,3919,3.434231,65503,19,43,819,3,234
527,3920,3.459147,65503,19,43,807,3,234
528,3921,3.446689,65503,19,43,823,3,234
529,3922,3.442536,65504,19,43,833,3,234
530,3923,3.442536,65503,19,43,824,3,234
531,3925,3.371942,65504,19,43,825,3,234
532,3926,3.442536,65503,19,43,831,3,234
533,3927,3.454994,65503,19,43,814,3,234
534,3928,3.442536,65503,19,43,827,3,234
535,3929,3.479910,65504,19,43,823,3,234
